,content
10,"59.5 > 4Dispersing Childhood (Huang)Some of this from 4 is a carryover from my query last Saturday that asked ""What this week?"", to which I got 20.2.4 > 6.Whose zhi gua for 20.2 is 59, again Dispersing.I won't get into the first reading here (20.2.4> 6) except to say that I understood it to mean a time  to 20. 'Contemplate'(W/B) (Reflect, mine) on the conversational 6. 'Conflict' I had with a friend over politics the week before, and who, according to the reading, I should go 'halfway ' by forgiving his name calling,  6. 'A cautious halt halfway brings good fortune. Going through to the end brings misfortune.', (W/B), but stop short of reconciling with him, (going through to the end) for reasons of personal protection and avoiding any further haranguing.The new reading sheds further light on the first in that 59. Perseverance furthers ie. Stick to my guns, and not to ""seek the young fool"" (W/B) 4. and again continue to persevere and 'foster (my) character','giving no more instruction' to 'the ignorant (who) seeks me, (concerning a previous reading I did for him over a year ago, of which advice he has ignored repeatedly).The other aspect of 4. Image leads me to believe I should be 'mak(ing) every effort To cultivate virtue with resolute deeds'. (Huang).I believe this refers to 'Dispersing Childhood' memories through working with other adult children in a 12 srep fellowship out of a workbook that I ordered yesterday morning early. ie. Using the 12 step workbook to disperse or spread information about my childhood to the proper qualified persons to achieve further recovery.4. Image says:'The superior person makes every effortTo cultivate virtue with resolute deeds.' (Huang)I checked Wrbster's dictionary for these terms and the answer I got was, in my words:""I should use the ACA Workbook to 'speak out loudly'  (59.5, Huang) and spread widely ('Dispersing') what's close (or even intimate) to me about my childhood ('king's belongings'), and so act with firm determination to improve my strength and manliness of character.""Thus, ""Dispersing Childhood"".Comments?I apologize for not being able to post the link here instead of the text. I don't know what happened.  @hilary ?Last edited: Nov 12, 2020"
11,"New blog index pageI’ve just added a dedicated blog index page to the site’s menu. (You’ll find it under ‘blog’ and also under the search icon for good measure.) You can use this to scan a compact list of all posts, or filter the list by category or series. You’ll also find a tag cloud at the top of the page, which is the quickest way to find all posts that mention a particular hexagram or topic.I hope this’ll make it easier to find what you’re looking for in the archives. They turn out to be… extensive. (This is post number 901.)I’ve had a lot of help creating this, for which I am hugely grateful!"
12,"The Tenth Wing, the Zagua (Ts'a-kua) is of unknown origin. It is a mnemonic poem for a hexagram order that is ""scrambled"" compared to the received order (which itself has a puzzling order). The Zagua is translated in its entirety in Legge and Rutt.I've posted a PDF of the two orders here (mid-page) so that people can study them side-by-side, and a short blogpost about it here.Will be interested to hear if anyone has any theories about itLast edited: Sep 14, 2020"
13,"just a quick note to say that last night my web host has lost my site, The Changes: will advise when we're back online"
14,"UPDATE: Harmen's June workshop is filled, but he is offering another session starting Sept. 2020.8-Week Online Workshop ‘The Power of the Hexagrams’ Starting September 21, 2020, offered by Harmen Mesker. Cost: $195 USThis workshop will be looking at the hexgrams, trigrams and lines: The workshop will focus on the hexagrams and their composition. You will be challenged to work only with the hexagrams and their structures, and to put the text of the book (the Yi) aside. Working only with the hexagrams without resorting to the text is a very old practice in China. It is part of the xiangshu way of Yijing study that has been practiced for more than two-thousand years. Note: The text of the I Ching (the judgements and lines) are also important and vital, but they are not the focus of this workshop. You can find more information and sign up for the workshop here.The workshop will include:Weekly lessons posted online, including reading materials, videos, examples, assignments (with feedback), etc.There will be an online forum where you can interact with Harmen and with other students.Participants will have an additional three months access to the online learning environment and the materials.Harmen hopes to include a few video 'chat' sessions, but these have not yet been scheduled.Notes: * Registration has two parts: you register, and you also have to pay through PayPay. Make sure to do both! * Just above the registration form, there is a link. 'Click here to see a detailed list of the weekly lessons and their content' where you will find details about what's covered each week. I recommend you take a look, to get a better sense about the workshop and what will be covered. About HarmenHarmen started his study of the Yijing in 1982. His main interests are the history and language of the Yi, as well as the oldest usage of the book in early China. He recently started a YouTube channel - YiTube - which has videos on all aspects of the Yi. On his website www.yjcn.nl he shares his latest projects as well as an ongoing research journal on the text of the Book of Changes.Last edited: May 31, 2020"
15,"New Resonance Journal versionIf you’ve opened your Resonance Journal today, you’ll have noticed the ‘Update available’ button is active. Click it! Your journal will update to version 2.5.1, which includes some nifty new features.If you don’t have a copy of the Resonance Journal, you can download a trial from here. It’s available for Windows or Mac computers – not for phones/tablets, though, sorry.Default entry typeAre about 96% of your entries Yijing readings? (Same here.) Then you can select that as the default entry type. Go to Tools > Settings and you’ll see the new tab for this. Select the type you want and click ‘close’ –The next time you start typing an entry title, it’ll set your default entry type automatically.(You’ll also find that when you’re creating an entry, you can see all the items on the list of entry types without having to scroll, so that saves you another click!)Automatic image resizingThe Resonance Journal has supported adding images for years, but we’ve made this much quicker and easier now you can resize the image inside the program.Use Alt+I as usual to insert an image (or Insert > Image from the main menu) and you’re given the option to insert your image at original size, small, or shrunk to fit the exact width of your entry, like this –New time fieldJust to the right of the date field, the Journal now also records the time of your entry. That’s going to be especially useful if you practice a form of divination where the time of casting is important, like horary astrology. (The date and time fields are filled in automatically when you create an entry, but you can also edit them if you’re recording a reading later.)And some more friendly touches…Not new features, just little things that should make your Journal quicker and easier to use…Mac users will find program shortcuts make better use of the ‘Command’ key.If you have a big HD monitor, go into Tools > Settings and pick the new XX-Large interface style for better readability.As well as linking to entries and websites, you can now also link to a file.Export to Excel now includes your entries’ tags.Enjoy the new version! (And don’t hesitate to let us know via the helpdesk if you have any questions.)"
16,"Has anyone information about Chou Shan-pei and his Yijing commentary?He is mentioned by Wei Tat, who describes his commentary as 'a masterpiece': the only authority I have so far encountered [this is circa 1967] who explains the text in accordance with the “Principle of Analogy or Correspondences”. Chou's commentary is titled Chou I Tsa Kua Cheng Chieh.Google turns up three possible references, each to a late C19 provincial official in Szechuan: in one,  he's ""frivolous and fond of creating trouble;"" in another, he's an acting judge attempting crisis conciliation; in the third, he's a Protestant addressing a missionary conference. He may be all three; the last fits best:We Chinese have a saying that ""where there is no skin the hair cannot grow"". Now, the church member may be compared to the skin; the propagation of truth, the schools, the hospitals, and all the teachings which lead to the progress of virtue and the attainment of knowledge, are the hair.""""Chou shan-pei"" in Google will bring up the three sources:  Despatches...  Flowery Republic  Forgotten BooksCheers, The Changes renovating, slowly"
17,Temple of the Singularity. Home of Zhou Yi Dao MeditationTemple of the Singularity Blogtempleofthesingularity.blogspot.comno more active but there is still a lot.
18,"Online workshop - The Mystery of the Text: Understanding the Words of the Book of Changes A workshop with Harmen Mesker - Starts August 17, 2020, and goes for 8 weeks. Cost: $190 US  Many users of the Yijing struggle with the text of the oracle: how can you read it in such a way that it always gives a meaningful and relevant answer to the question or situation that you address to the Book of Changes? This workshop will teach you that. To read more and to register, visit here(Note that registration is a two-step process: you need to fill in registration info and pay via PayPal.) In this workshop we will explore the text of the I Ching, its origin and development, and we will look at its usage and readings of this oracle from early China. From there, we will build a framework that will help you understand the layout of the text, and how it conveys it messages in images.You will learn how to read the text, work with its images, and how to lift the veil of mystery from its words. After this, you will know how the text can answer any question that you address to the oracle. You will be able to read the images and text and can practically apply them to any situation.Who’s afraid of the text? You won’t be after this workshop.Course format and environment: * Weekly lesson with reading material, videos, assignments with feedback, and discussions in which the theory is put to practice.* There is a discussion forum, and you can converse with the teacher and the other students. When the course is finished you will have an additional three months access to the online learning environment and materials.  Some highlights from the course  Chinese script * Written Chinese: a short history of the Chinese script * The composition of Chinese characters * The value of etymology when studying the Yijing (and how it is often overrated)The text of the Yijing  * What do we know about the history of the text? * What is the contents of the text? * Recurring phrases and their (possible) backgroundReading the text   * How was the text read and interpreted in early China - and what can we learn from it  * Images, images, images: symbols in the words, words as symbols  * How to read beyond the words Interpreting the text   * Seeing the images as an answer to your question   * Reading multiple lines and how to prioritize them  * What if lines seem to contradict?Books * A short history of (mainly English) Yijing translations * How to find the version that fits you, and how to work with what you have * What to do if two versions contradict each otherLast edited: Jun 16, 2020"
19,"UPDATE: Harmen's April 20th workshop is filled, but he is offering another session starting June 2020. This thread has been updated to reflect that. 8-Week Online Workshop ‘The Power of the Hexagrams’Starting June 2020, offered by Harmen Mesker This workshop will be looking at the hexgrams, trigrams and lines:  The workshop will focus on the hexagrams and their composition. You will be challenged to work only with the hexagrams and their structures, and to put the text of the book (the Yi) aside. Working only with the hexagrams without resorting to the text is a very old practice in China. It is part of the xiangshu way of Yijing study that has been practiced for more than two-thousand years. ​Note: The text of the I Ching (the judgements and lines) are also important and vital, but they are not the focus of this workshop.  You can find  more information and sign up for the workshop here. The workshop will include: Weekly lessons posted online, including reading materials, videos, examples, assignments (with feedback), etc. There will be an online forum where you can interact with Harmen and with other students. Participants will have an additional three months access to the online learning environment and the materials. Harmen hopes to include a few video 'chat' sessions, but these have not yet been scheduled. Notes:  * Registration has two parts: you register, and you also have to pay through PayPay. Make sure to do both! * Just above the registration form, there is a link. 'Click here to see a detailed list of the weekly lessons and their content' where you will find details about what's covered each week. I recommend you take a look, to get a better sense about the workshop and what it will be covering. About HarmenHarmen started his study of the Yijing in 1982. His main interests are the history and language of the Yi, as well as the oldest usage of the book in early China. He recently started a YouTube channel - YiTube - which has videos on all aspects of the Yi. On his website www.yjcn.nl he shares his latest projects as well as an ongoing research journal on the text of the Book of Changes.Last edited: Apr 19, 2020"
20,"March 22nd: ‘Connecting with Imagery’ WorkshopConsulting the I Ching? You will need…to know what you’re askinga sense of how the parts of a reading fit together, andto be able to get inside the oracle’s imagery.If you’re missing any of these, you’ll tend to get stuck and frustrated at some point – but anyone who’s missing #3, the ability to relate to the imagery from the inside, is barely going to be able to get started.(‘Kings? Birds? Wells? Offerings? What have they got to do with anything?’)I say ‘ability’, but really this is more of a habit – steps you learn to follow without thinking as you engage with a reading. It’s just a matter of knowing the steps and having them become second nature.And so, last June, I ran an online ‘Connecting with Imagery’ workshop, which was startlingly popular. And in the run-up to the Yijing Foundations Class (starting March 29th!) I’ve decided to re-run it, but with new examples. Here are the details:WhereOnline, in a ‘Zoom’ video chat room which is brilliantly easy to use. Or in other words, at your computer or phone, wherever there’s an internet connection.WhatPart illustrated talk, part interpretation practice, part discussion and Q&A, about…all the different ways Yi answers you in imageswhy you need to get ‘inside’ the imagery, andhow you can do that.When22nd March, 6pm UK time - see http://bit.ly/2xxPNFA for the time in your own timezone.The workshop is free – you just need to sign up to get the details:Connecting with Yi's imagery: a free mini-workshopSimple ways to understand your reading directly, from the inside out    The Yijing's teeming with imagery - tigers, horses, arrows, kings, farmers, rivers, axle-straps... - and it's not always easy to follow. If you've ever sat looking at the imagery of your reading and thought, 'What (on earth) amwww.onlineclarity.co.ukLast edited: Mar 13, 2020"
21,"I Ching Foundations Class  ... building confidence in your relationship with the I Ching Visit the course webpage to learn more and to sign up .... I Ching Foundations Class | I Ching with Claritywww.onlineclarity.co.ukThis is a live online class on the foundations of confident Yijing (I Ching) interpretation. It’s designed to clear away whatever obstacles stand between you and confidence in your own Yijing readings. If you ... have trouble applying the imagery to your own situation and questionworry that your biases may be distorting your interpretationare baffled by apparent contradictions between different parts of a reading…and find yourself giving up on a reading when you wanted and needed its help, then this class is for you.What's included: Yijing Foundations Course plus ... weekly video classesprivate class forum& oodles of support and feedbackfor just 12 peopleThe class will go until June 21stTaking Hilary’s class was a real joy. The Yi can be confusing, especially considering that throughout history it has been shown though a prism creating a spectrum of interpretation.It’s easy to get lost in a reading but Hilary’s insight can clarify and reveal facets of new interpretation. I liked the interaction of the class and the brainstorming process.For me I feel I needed the personal interaction with Hilary and the other classmates and I wasn’t disappointed.  - Tim Swezey​"
22,"I've launched my first crowdfunding campaign, should any of you be interested in giving it a look.  I would love to open up discussions with other dedicated amateurs.  Thank you!  You can find it here:Complex Diagrams from The Book of Changes / I Ching / Yijing-Alterbook Visuary- discovered & rendered via principles of the Changeometric Notation: Antescience & Protologistics 101010www.kickstarter.com"
23,"Hello All, I just went on a trip to an out of the way but huge used bookstore and found this I Ching I had never heard of by Sam Reifler.""I Ching: A New Interpretation For Modern Times""I examined some passages and found it enlightening unlike two other I Ching's on the shelf that were new to me. I look forward to studying it closer. It does look deep plus useful which is my general criteria for my extensive collection.I am sure others are aware of it. Maybe they can share their reflections? For those interested in looking closer or buying a used copy here is a link:I Ching: A New Interpretation for Modern Times: Reifler, Sam: 9780553278736: Amazon.com: BooksI Ching: A New Interpretation for Modern Times [Reifler, Sam] on Amazon.com. *FREE* shipping on qualifying offers. I Ching: A New Interpretation for Modern Timeswww.amazon.com"
24,"Opening soon for readingsI’ll be opening for readings very shortly. To make sure you’re notified when I open and have a chance to book a slot, please sign up on the readings page for ‘Ways of Opening’, a pdf guide to finding your question. (And have a look through it – I hope you’ll find it helpful!)I’m open almost all the time for ‘I Ching chats‘, a 30 minute quick overview of a reading, but only once or twice a year for this full, in-depth reading service. This is for a deep dive into a big question.(Don’t worry if you don’t know exactly what you’d ask, or you’re not sure whether this is something that would ‘work’ as a reading. That’s what the first, no-obligation call is for.)Have a look at the details here and put your name down if this could be for you. I’ll be in touch by email in a few days’ time."
25,"In 2005 Dong Shan 董珊 from the University of Beijing came across an axe that was held in a private collection. The axe, dated around 900-800 BC, contains an inscription:一六一一一六，曰：鼑（鼎）止（趾）眞（顚）；鼑（鼎）黃耳，奠止（趾）。五六一一五八，X。'一六一一一六' and 五六一一五八 are 'numerical hexagrams' that both convert to hexagram 50 ䷱. The text that follows it contains the name of hexagram 50 as well as phrases that are reminiscent of the line texts of hexagram 50.Although the provenance of the axe is unknown Dong Shan does not think it is a fake, considering the patina and other features on the axe. This find would be the earliest object that directly links the numerical hexagrams to the Zhouyi, and it also contains the earliest text sample of it.Dong Shan's original article about the axe, published in 2011, can be read here http://www.gwz.fudan.edu.cn/Web/Show/2207. Pictures of the axe can be found at the end of the article.Adam Schwartz writes in detail about the axe in his article 'Between Numbers and Images: the Many Meanings of Trigram Li 離 in the Early Yijing', published in the Bulletin of the Jao Tsung-I Academy of Sinology, Vol. 5, p. 47-84 (http://jas.hkbu.edu.hk/site/YCY/upload/mw_data/file/mw_data_2058_5b4411571ef04.pdf)Attachments20140108091242305011.jpg17.1 KB · Views: 25Last edited: Aug 2, 2019"
26,"Please see attached file (guaranteed safe) on subject matter for everyone's review, comment. Diagrams only, sorry. Violent reactions welcome. Have a good day!(It's a little messy, but I'm working out a more streamlined layout.)Note: Certain sections, i.e. special pairs and the ""Gritter Grid,"" are credited to Gert Gritter's 2014 paper.(Edit: Corrected version is attached, there had been a mix-up of hexagrams in the earlier version)AttachmentsPOSSIBLE RELATION OF THE RECEIVED (KING WEN) SEQUENCE OF THE ZHOU YI TO TAOTIE MOTIF.pdf291.8 KB · Views: 3Last edited: Jan 4, 2020"
27,"Classical Chinese Combinatorics: Derivation of the Book of Changes Hexagram Sequence by Richard S Cook, is a massive ""proof"" regarding theYijing hexagram order (i.e. the ""received order"" or ""King Wen"" order). The puzzle of the received order has been discussed extensively over the centuries, and here on Online Clarity (use the search function to locate these).When it comes to the received order, there are perhaps three basic camps:• the order is organized by pairs but otherwise random• the order is mostly organized• the order is totally organizedCook belongs to the latter camp. He spent many years thinking through how the order might be organized, and after some insights, began creating this 600+ page analysis.Cook's book has interesting and understandable material in the introductory sections about Yijing history and some general concepts that he uses. The analysis, however, is quite technical and requires mathematical background.I've reviewed the book more extensively at Contemplating the I Ching. The book is available through Lulu (US$64).Readers should also look at József Drasny's recent in-depth review of the book at Yijing Dao (scroll down to it) as it delves much more into the technical aspects of Cook's work.Last edited: Dec 6, 2019"
28,"John Minford's I Ching is a deep exploration of the Book of Changes arranged in one large volume as two translations with commentaries, either of which can be used for consultation. Part One draws from the commentary tradition; Part Two from the original Bronze Age text. This version is deep enough for dedicated students of the book, but quite accessible to newcomers. It is now also available in paperback, audio, and ebook.I've posted a full review on the Contemplating Change blog.Barbara"
29,"Hello dear Yi Jing lovers!This is my first post in this forum, although I have been roaming around here for many years.It is my pleasure to present to you a new Yi Jing work, which took more than 2 decades to complete (working off and on).This forum has proven to be a wonderful resource of questions to study, and some comments of knowledgeable members have proven most useful for exploring certain angles, ideas, or information.I apologize for not having participated sooner in the exchanges here, but I found it inappropriate to do so before publishing my book.As a ""thank you"" to all those who have been contributing to this forum, and as a winter solstice present, I'm giving away my book (more than 900 pages) for free, until dec. 31, 2019!The direct download link for the full PDF is[available from Jian Lee on request]After this date, the book will go on sale. How, where, and at what price is still under consideration, so an update will be posted here.I created a small website for the book, at the following (temporary) URL:[redacted]It also offers an archive of a selection of questions with my interpretations. I lifted a number of questions from this forum. If you like to check if a question of yours is there, then search the page using your forum name, it should come up.It seemed inappropriate to post these interpretations here, as generally they are from very old topics. But if you feel some should be copy+pasted here, then feel free to do that.You can find the archive (of presently 83 questions + answers) at[redacted]If you have questions about any of these, it will be a pleasure to answer them.The main goal for writing this book has been to ""fill in the blanks"", providing indications where the traditional Yi Jing texts and contemporary versions leave them open, or uncertain, all the while staying as close as possible to the ""received text"".It will be great to read about your experiences with this text. Does it offer clarification where other versions leave room for doubt? Is it easy to read, regardless of the unusual text presentation and the many brackets? Do you agree with the texts (names, image, judgment, lines, etc)? Did you find a typo?You might like to read the text for castings you did in the past, or new ones, and see how it works for you.I hope you will enjoy it, and will find it helpful.Happy winter solstice!JLLast edited by a moderator: Nov 28, 2019"
